description,address,group,lon,lat,type,loctype,north,south,east,west,,,,
Joseph Metcalf School,"2019 Northampton St, Holyoke, MA 01040",school,-72.6303623,42.1934094,premise,rooftop,42.19479063,42.19209267,-72.62901887,-72.63171683,,,,
William G. Morgan School,"596 S Bridge St, Holyoke, MA 01040",school,-72.6079096,42.1958278,premise,geometric_center,42.19724878,42.19455082,-72.60661767,-72.60931563,,,,
Lt. Elmer McMahon Elementary School,"75 Kane Rd, Holyoke, MA 01040",school,-72.6479627,42.1845014,premise,rooftop,42.18587138,42.18317342,-72.64653097,-72.64922893,,,,
Lt. Clayre P. Sullivan School,"400 Jarvis Ave, Holyoke, MA 01040",school,-72.6459763,42.2059471,premise,geometric_center,42.20729133,42.20459337,-72.64452262,-72.64722058,,,,
H.B. Lawrence Elementary,"156 Cabot St, Holyoke, MA 01040",school,-72.6134999,42.2030256,premise,rooftop,42.20436778,42.20166982,-72.61216827,-72.61486623,,,,
Holyoke Middle School,"1916 Northampton St, Holyoke, MA 01040",school,-72.6263893,42.19895,premise,rooftop,42.20436778,42.20166982,-72.61216827,-72.61486623,,,,
William R Peck Middle School,"1916 Northampton St, Holyoke, MA 01040",school,-72.6263893,42.1981075,premise,rooftop,42.19963693,42.19693897,-72.62539382,-72.62809178,,,,
Dr. Marcella R. Kelly School,"216 West St, Holyoke, MA 01040",school,-72.6004943,42.2023674,premise,rooftop,42.20337603,42.20067807,-72.59910032,-72.60179828,,,,
Edward Nelson White School,"1 Jefferson St, Holyoke, MA 01040",school,-72.6261121,42.2250882,premise,rooftop,42.22649998,42.22380202,-72.62499267,-72.62769063,,,,
Maurice A Donahue Elementary School,"210 Whiting Farms Rd, Holyoke, MA 01040",school,-72.6392319,42.1768141,premise,rooftop,42.17812868,42.17543072,-72.63774262,-72.64044058,,,,
Holyoke High School Dean Campus,"1045 Main St, Holyoke, MA 01040",school,-72.6304547,42.1783698,premise,rooftop,42.17982143,42.17712347,-72.62854277,-72.63124073,,,,
Holyoke High School North Campus,"500 Beech St, Holyoke, MA 01040",school,-72.6223239,42.199571,premise,rooftop,42.20117213,42.19847417,-72.6215385,-72.6245709,,,,
Holyole High School Opportunity Academy,"206 Maple St, Holyoke, MA 01040",school,-72.6076901,42.2079005,premise,rooftop,42.20923043,42.20653247,-72.60633002,-72.60902798,,,,"42.1784771303157, -72.63009540093807"
Carlos Vega Park,"Hamilton St, Holyoke, MA 01040",mealsite,-72.6066097,42.1978115,route,geometric_center,42.1994736,42.1960868,-72.6047679,-72.6092032,,,,
Community Field,"Community Field Rd, Holyoke, MA 01040",mealsite,-72.6376413,42.2017821,route,geometric_center,42.2045615,42.1991825,-72.63585032,-72.63854828,,,,
Heritage State Park,"221 Appleton St, Holyoke, MA 0104",mealsite,-72.6075862,42.2049488,premise,rooftop,42.20626328,42.20356532,-72.60625862,-72.60895658,,,,
Springdale Park,"844 Main St, Holyoke, MA 0104",mealsite,-72.6209419,42.1886731,street_address,rooftop,42.19043658,42.18773862,-72.61990982,-72.62260778,,,,
Veterans Memorial Park,"82 Chestnut St, Holyoke, MA 01040",mealsite,-72.6088,42.208592,street_address,range_interpolated,42.20994098,42.20724302,-72.60745102,-72.61014898,,,,
Holyoke STEM Academy,"1045 Main St, Holyoke, MA 01040",school,-72.6300954,42.17847713,premise,rooftop,,,,,,,,
